A compact electroencephalogram recording device with integrated audio stimulation system;EP;Investigación (Investigación sobre la señal - Investigaciones rutinarias);Diseñar un sistema de medida
Afferent and efferent activity control in the design of brain computer interfaces for motor rehabilitation;EEG;BCI (Brain-Computer Interface) / Medicina/Biomedicina (Rehabilitación tras derrame cerebral);Diseñar una BCI
Age-related changes in EEG power spectra in infants during sevoflurante wash-out;EEG;Investigación (Investigación sobre la señal - EEG infantil durante cirugía con anestesia);Contribuir al conocimiento sobre la señal
A method for better positioning bipolar electrodes for lower limb EMG recordings during dynamic contractions;EMG;Investigación (Investigación sobre la señal - EMG durante actividades cotidianas);Hallar posiciones de electrodo óptimas
A model for removing transcranial current stimulation in concurrently measured EEG;EEG;Medicina/biomedicina (TCS Transcranial Current Stimulation);Cancelación de ruido (Cancelación de una interferencia en particular: debida al procedimiento de TCS)
A Modular, Smart, and Wearable System for High Density sEMG Detection;EMG;Investigación (Investigación sobre la señal: estudio del sistema neuromuscular mediante HD-sEMG);Diseñar un sistema de medida
An algorithm study for FES evoked artifacts removal based on the combination of CEEMDAN and GS;EMG;Medicina/biomedicina (rehabilitación tras derrame cerebral);Cancelación de ruido (Cancelación de una interferencia en particular: debida al procedimiento de FES)
A Neural Recording with 16 Reconfigurable Front-end Channels and Memristive Processing/Memory Unit;AP;Investigación (Investigación sobre la señal: estudio del sistema nervioso a través de medidas neuronales);Diseñar un sistema de medida
An improved algorithm for electrohysterogram envelope extraction;N/A;N/A;N/A
An innovative adaptive filtering technique for electromyography (EMG) signals influenced by signal cord transcutaneous stimulation;EMG;Medicina/biomedicina (rehabilitación tras lesión de la médula espinal / scTS);Cancelación de ruido (cancelación de una interferencia en particular: debida al procedimiento de scTS)
A Real-time EMG-Based Fixed-Bandwidth Frequency-Domain Embedded System for Robotic Hand;EMG;Prótesis (de miembro superior);Diseñar un sistema de control (control de mano robótica mediante señal EMG)
A simple method for detection and classification of ECG noises for wearable ECG monitoring devices;ECG;Investigación (sobre la señal) / Sistemas de monitorización \textit{wearable};Contribuir al conocimiento sobre la señal
A Smart Textile Electrode Belt for ECG Recordings - A Pilot Study with Indian Population;ECG;Medicina/biomedicina (medicina ambulatoria) / Electrodo textil;Diseñar un sistema de medida (diseño de electrodo textil)
Assessment of post-cardiac-arrest somatosensory evoked potential in rats;EP;Investigación (Investigación sobre la señal);Contribuir al conocimiento sobre la señal (SSEP tras paro cardíaco)
Automated Classification and Removal of EEG Artifacts With SVM and Wavelet-ICA;EEG;Medicina/biomedicina (estudio/diagnóstico de la epilepsia) / BCI (Brain-Computer Interface);Cancelación de ruido (general)
Automated detection and correction of eye blink and muscular artefacts in EEG signal for analysis of Autism Spectrum Disorder;EEG;Medicina/biomedicina (estudio/diagnóstico del TEA);Cancelación de ruido (varias interferencias en particular: musculares, de parpadeo)
Baseline wander removal from ECG signal using State Space Recursive Least Squares (SSRLS) adaptive filter;ECG;Investigación (sobre interferencias);Cancelación de ruido (de una interferencia en particular: \textit{baseline wander})
Characterization of EMG time-frequency content during Parkinson walking: a pilot study;EMG;Investigación (sobre la señal);Contribuir al conocimiento sobre la señal (\textit{gait analysis} / comparación en frecuencia de la señal EMG de personas con enfermedad de Parkinson)
Comparison of Laplacian and bipolar ECGs for R-wave detection during noise;ECG;Investigación (sobre sistemas de medida);Hallar posiciones de electrodo óptimas
Comparison of methods for reducing residual noise in suprathreshold early auditory evoked potential registration;N/A;N/A;N/A
Design and implementation of a multiband digital filter using FPGA to extract the ECG signal in the presence of different interference signals;ECG;Investigación (sobre técnicas de filtrado);Investigación (sobre técnicas de filtrado) & \small Cancelación de ruido (varias interferencias en particular: red eléctrica, respiración, muscular, ruido blanco en banda ECG)
Design of digital FIR filter implemented with window techniques for reduction of power line interference from ECG signal;ECG;Investigación (Investigación sobre técnicas de filtrado);Cancelación de ruido (de una interferencia en particular: red eléctrica)
Detecting the Elusive P-Wave: A New ECG Lead to Improve the Recording of Atrial Activity;ECG;Medicina/biomedicina (estudio/diagnóstico de la fibrilación auricular);Hallar posiciones de electrodo óptimas
Detection of End of T-wave in Fetal ECG Using Recurrence Plots;ECG;Medicina/biomedicina (estudio del ECG fetal);Contribuir al conocimiento sobre la señal
Development of a compact-size and wireless surface EMG measurement system;EMG;Investigación (sobre sistemas de medida);Diseñar un sistema de medida
Development of a Printed Circuit Board for Electromyographic Signal Acquisition;EMG;HMI (Human-Machine Interface) basada en sEMG / Robótica (\textit{assistive robotics});Diseñar un sistema de medida (PCB para adquisición y acondicionamiento de sEMG)
Digitization of Electrocardiogram From Telemetry Prior to In-hospital Cardiac Arrest: A Pilot Study;ECG;Medicina/biomedicina (telemetría/monitorización de ECG en hospitales);Diseñar una técnica de procesamiento (para digitalización de papeles impresos por sistemas de telemetría)
Dynamics of high frequency brain activity;EEG;Investigación (Investigación sobre la señal);Contribuir al conocimiento sobre la señal
Effect of sampling frequency on EMG power spectral characteristics;EMG;Investigación (sobre técnicas de procesamiento);Contribuir al conocimiento sobre la señal (hallar frecuencia de muestreo óptima)
Electrical Rhythms Revealed by Harmonic Analysis of a High-Resolution Cardiogram;ECG;Investigación (sobre la señal);Contribuir al conocimiento sobre la señal (estudio armónico sobre la señal ECG)
Elimination of Ocular Artifacts from EEG Signals using the wavelet transform and empirical mode decomposition;EEG;Investigación (sobre interferencias);Cancelación de ruido (de una interferencia en particular: ocular)
EMG spectrum shifts of biceps brachii when acting as an antagonist;EMG;Investigación (sobre la señal);Contribuir al conocimiento sobre la señal (comportamiento de los músculos del codo durante contracciones lineales)
Empowering healthcare: Secure hand gesture authentication in medical IoT with sEMG;EMG;IoT médico / IoMT (\textit{Internet of Medical Things});Diseñar un sistema de autenticación (basado en gestos de la mano)
ESAD: Expert System for Apnea Detection using Enhanced DW Feature Extraction and Machine Learning Algorithms;EEG;Medicina/biomedicina (estudio/diagnóstico de la apena del sueño);Diseñar un algoritmo de detección (detección de la apnea del sueño a partir de la señal EEG)
Estimation of Time-Varying Spectral Peaks and Decomposition of EEG Spectrograms;EEG;Investigación (sobre la señal) / Estudio del sueño;Diseñar una técnica de procesamiento (descomposición del espectrograma)
Evaluation of Hand Gesture Classification Based on Motor Units Activation for Prosthetic Application;EMG;Prótesis (de miembro superior);Diseñar un sistema de control (control de prótesis de miembro superior)
Evaluation of Novel Embroidered Textile-Electrodes Made from Hybrid Polyamide Conductive Threads for Surface EMG Sensing;EMG;Medicina/biomedicina (medicina ambulatoria) / Electrodo textil;Diseñar un sistema de medida (diseño de electrodo textil)
Evaluation of the low-frequency components in surface electromyography;EMG;Investigación (sobre la señal);Contribuir al conocimiento sobre la señal (componentes de BF de la señal EMG)
Fatigue Detection in SSVEP-BCIs Based on Wavelet Entropy of EEG;Varias;BCI (Brain-Computer Interface);Diseñar un algoritmo de detección (detección de la fatiga mental para BCI basada en SSVEP)
Frequency content of the QRS notching in high-fidelity canine ECG;ECG;Investigación (sobre la señal);Contribuir al conocimiento sobre la señal (estudiar los rangos de frecuencia de QRS \textit{notches}/\textit{slurs})
Global field synchronization in gamma range of the sleep EEG tracks sleep depth: Artifact introduced by a rectangular analysis window;EEG;Investigación (sobre la señal) / Estudio del sueño;Contribuir al conocimiento sobre la señal
HermesB: A Continuous Neural Recording System for Freely Behaving Primates;AP;Investigación (sobre sistemas de medida) / Electrodo implantado;Mostrar el funcionamiento de un sistema de medida previamente validado
High frequency ECG during acute myocardial ischemia;ECG;Medicina/biomedicina (estudio/diagnóstico de la isquemia);Contribuir al conocimiento sobre la señal
High resolution EEG and whole head MEG;N/A;N/A;N/A
